,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score
35,25,sqrt,10,8000,2000,0.9147625119876605
7,25,auto,10,8000,1000,0.9147510228541776
6,25,auto,10,8000,500,0.9147483913440757
87,50,sqrt,10,8000,500,0.9146938467053612
33,25,sqrt,10,8000,500,0.9146923164054499
88,50,sqrt,10,8000,1000,0.9146400157707323
116,100,auto,10,8000,2000,0.9146323349402626
106,50,sqrt,100,8000,1000,0.9146259240392196
115,100,auto,10,8000,1000,0.9145912573905608
142,100,sqrt,10,8000,1000,0.9145852333252347
124,100,auto,50,8000,1000,0.9145569456171347
62,50,auto,10,8000,2000,0.914531473747641
8,25,auto,10,8000,2000,0.9144970683877176
97,50,sqrt,50,8000,1000,0.9144860941109607
61,50,auto,10,8000,1000,0.9144754699784257
98,50,sqrt,50,8000,2000,0.9144548580701279
159,100,sqrt,100,8000,500,0.9144386311067828
123,100,auto,50,8000,500,0.9144270120584826
34,25,sqrt,10,8000,1000,0.9144231780077401
17,25,auto,50,8000,2000,0.914389571053424
133,100,auto,100,8000,1000,0.914381606383318
141,100,sqrt,10,8000,500,0.91435862127508
125,100,auto,50,8000,2000,0.9143583233761706
51,25,sqrt,100,8000,500,0.914335483478163
71,50,auto,50,8000,2000,0.9143202908524664
107,50,sqrt,100,8000,2000,0.9143017977836946
26,25,auto,100,8000,2000,0.9142999065972699
53,25,sqrt,100,8000,2000,0.9142826562813751
44,25,sqrt,50,8000,2000,0.9142680444035806
96,50,sqrt,50,8000,500,0.9142450376717012
152,100,sqrt,50,8000,2000,0.9142333042304263
132,100,auto,100,8000,500,0.9142271625260581
16,25,auto,50,8000,1000,0.9142084361392182
52,25,sqrt,100,8000,1000,0.9141820549958368
78,50,auto,100,8000,500,0.9141564032632925
24,25,auto,100,8000,500,0.9141234639485567
79,50,auto,100,8000,1000,0.9141145750654142
43,25,sqrt,50,8000,1000,0.9141137263393897
143,100,sqrt,10,8000,2000,0.9140890519532995
105,50,sqrt,100,8000,500,0.9140837930415593
151,100,sqrt,50,8000,1000,0.9140557603717108
134,100,auto,100,8000,2000,0.9140416746597346
161,100,sqrt,100,8000,2000,0.9140269862496666
160,100,sqrt,100,8000,1000,0.9140116015322854
25,25,auto,100,8000,1000,0.913958695890672
42,25,sqrt,50,8000,500,0.9139573412520059
69,50,auto,50,8000,500,0.913909302268236
60,50,auto,10,8000,500,0.9138767885172896
150,100,sqrt,50,8000,500,0.9137521724068345
80,50,auto,100,8000,2000,0.9136824171772098
